Symbol,Name,Last,Sector,Industry,Time,"10Y %Chg","YTD %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W Chg"
LVS,"Las Vegas Sands",32.64,"Consumer Discretionary",Gaming,"16:00 ET",-25.80%,-12.93%,1.28,24657798000,4234000000,-961000000,-1.33,0.00%,-21.51
DXC,"Dxc Technology Company",32.34,"Computers and Technology","IT Services","16:03 ET",N/A,+1.04%,2.13,7178886000,16265000000,718000000,3.5,0.00%,-8.61
BAC,"Bank of America Corp",32.05,Finance,"Banks - Major Regional","16:00 ET",+284.60%,-27.69%,1.38,253469456000,93851000000,31978000000,3.5,2.62%,-9.22
CAG,"Conagra Brands Inc",31.98,"Consumer Staples","Food - Misc & Diversified","16:03 ET",+57.59%,-6.22%,0.68,15260025000,11184700000,1298800000,2.26,3.91%,-5.22
DAL,"Delta Air Lines Inc",31.96,Transportation,"Transportation - Airline","16:00 ET",+186.58%,-17.90%,1.05,20116964000,29899000000,280000000,-1.78,0.00%,-13.44
WMB,"Williams Companies",31.75,Oils-Energy,"Oil - Production & Pipeline","16:00 ET",+12.21%,+22.24%,1.16,39390508000,10627000000,1517000000,1.41,5.13%,4.08
BKR,"Baker Hughes A Ge Co. Cl A",31.74,Oils-Energy,"Oil - Field Services","16:00 ET",+15.17%,+32.36%,1.51,33834616000,20502000000,-219000000,0.66,2.16%,6.89
CTRA,"Coterra Energy Inc",30.67,Oils-Energy,"Oil - US Exploration & Product","16:03 ET",+57.92%,+62.18%,-0.22,25068596000,3449000000,1158000000,2.53,1.84%,13.93
SYF,"Synchrony Financial",30.47,Finance,"Finance - Misc Services","16:00 ET",N/A,-34.22%,1.43,14798941000,15752000000,4221000000,7,2.96%,-19.53
FOX,"Fox Corp Cl B",30.44,"Consumer Discretionary","Broadcast - Radio & TV","16:00 ET",N/A,-10.91%,0.99,16507609000,12909000000,2150000000,2.7,1.64%,-5.45
PENN,"Penn Natl Gaming Inc",30.25,"Consumer Discretionary",Gaming,"16:00 ET",+187.46%,-41.47%,2.36,4837287000,5905000000,420800000,2.24,0.00%,-48.22
MGM,"MGM Resorts International",30.06,"Consumer Discretionary",Gaming,"16:00 ET",+163.44%,-32.71%,2.19,12525929000,9680140000,1254370000,0.03,0.03%,-12.04
VNO,"Vornado Realty Trust",29.45,Finance,"REIT - Equity Trust Other","16:00 ET",-56.89%,-29.34%,1.25,5552877000,1589210000,176000000,0.56,7.25%,-19.96
CSX,"CSX Corp",29.42,Transportation,"Transportation - Rail","16:00 ET",+293.65%,-21.49%,1.22,63792792000,12522000000,3781000000,1.64,1.36%,-3.28
